Notes,Region,Region Code,State,State Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F)
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,,,56.62,42.31,89.06
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Jan,1,31.8,19.23,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Feb,2,33.99,21.91,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Mar,3,38.99,26.01,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Apr,4,53.38,38.54,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,May,5,62.76,45.19,88.71
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Jun,6,73.2,57.25,84.99
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Jul,7,75.14,60.58,85.58
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Aug,8,78.03,62.15,85.37
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Sep,9,69.8,56.79,83.81
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Oct,10,57.75,43.26,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Nov,11,42.48,32,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,Dec,12,41.07,31.89,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1996,1996,,,54.93,41.28,85.46
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Jan,1,32.55,21.36,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Feb,2,38.37,26.42,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Mar,3,41.28,27.83,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Apr,4,52.47,37.36,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,May,5,61.13,44.16,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Jun,6,73.59,55.72,87.49
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Jul,7,78.68,61.79,89.07
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Aug,8,76.76,61.96,87.76
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Sep,9,70.53,54.65,85.05
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Oct,10,59.48,43.98,83.53
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Nov,11,44.53,34.3,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,Dec,12,36.71,28.02,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1997,1997,,,55.59,41.54,87.85
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Jan,1,37.97,29.39,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Feb,2,39.39,29.51,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Mar,3,47.02,34.44,82.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Apr,4,56.62,41.22,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,May,5,68.07,50.8,82.9
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Jun,6,71.23,57.16,90.89
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Jul,7,78.19,63.1,87.77
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Aug,8,78.8,63.9,86.41
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Sep,9,73.38,55.72,86.02
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Oct,10,59.4,44.75,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1998,1998,Nov,11,48.61,36.28,Missing
