,FIPS,County,State,State Abbreviation,2010 Census,2011 Estimate,2012 Estimate,2013 Estimate,2014 Estimate,2015 Estimate,2016 Estimate,2017 Estimate
222,06073,san diego,california,CA,3095313,3139767,3179798,3216522,3256875,3290044,3317200,3337685
223,06075,san francisco,california,CA,805235,816294,830406,841270,853258,866320,876103,884363
224,06077,san joaquin,california,CA,685306,695071,700958,703747,713452,723846,734294,745424
225,06079,san luis obispo,california,CA,269637,271150,274378,275973,278534,280402,282282,283405
226,06081,san mateo,california,CA,718451,729022,740644,750345,759156,766779,769561,771410
227,06083,santa barbara,california,CA,423895,426058,430827,435980,440628,443927,446296,448150
228,06085,santa clara,california,CA,1781642,1813812,1841868,1870935,1896246,1919220,1931575,1938153
229,06087,santa cruz,california,CA,262382,265103,266794,269395,271529,274299,275196,275897
230,06089,shasta,california,CA,177223,177595,177917,178445,178983,178472,178774,179921
231,06091,sierra,california,CA,3240,3100,3068,3030,2979,2994,2964,2999
232,06093,siskiyou,california,CA,44900,44614,44082,43543,43390,43351,43511,43853
233,06095,solano,california,CA,413344,416652,420267,424384,429993,434751,440318,445458
234,06097,sonoma,california,CA,483878,487822,490740,495007,499563,502096,503833,504217
235,06099,stanislaus,california,CA,514453,518034,521349,524625,529544,535000,541353,547899
236,06101,sutter,california,CA,94737,94560,94342,94702,94983,95524,96058,96648
237,06103,tehama,california,CA,63463,63347,63241,62916,62820,63128,63444,63926
238,06105,trinity,california,CA,13786,13677,13482,13422,13122,13092,12839,12709
239,06107,tulare,california,CA,442179,447358,450779,453663,456452,458601,460835,464493
240,06109,tuolumne,california,CA,55365,54832,54237,54018,53852,53589,53787,54248
241,06111,ventura,california,CA,823318,830990,835143,840175,844749,848925,851096,854223
242,06113,yolo,california,CA,200849,202082,204890,206650,208873,212428,215959,219116
243,06115,yuba,california,CA,72155,72511,72832,73159,73642,74201,75185,77031
244,08001,adams,colorado,CO,441603,451443,459861,469377,479488,489822,497395,503167
245,08003,alamosa,colorado,CO,15445,16117,16092,16200,16213,16305,16456,16551
246,08005,arapahoe,colorado,CO,572003,584955,595094,606839,617385,628834,636949,643052
247,08007,archuleta,colorado,CO,12084,12014,12124,12205,12222,12382,12836,13315
248,08009,baca,colorado,CO,3788,3778,3722,3655,3586,3552,3548,3562
249,08011,bent,colorado,CO,6499,6328,5816,5733,5784,5893,5681,5938
250,08013,boulder,colorado,CO,294567,300518,305028,309749,312505,317968,321173,322514
251,08014,broomfield,colorado,CO,55889,57445,58899,60065,61706,64796,66509,68341
252,08015,chaffee,colorado,CO,17809,18019,18142,18347,18439,18582,19082,19638
253,08017,cheyenne,colorado,CO,1836,1853,1862,1869,1834,1811,1834,1845
254,08019,clear creek,colorado,CO,9088,9002,9005,9008,9110,9233,9361,9574
255,08021,conejos,colorado,CO,8256,8279,8239,8192,8224,8061,8072,8184
256,08023,costilla,colorado,CO,3524,3636,3597,3535,3554,3569,3705,3776
257,08025,crowley,colorado,CO,5823,5859,5435,5321,5586,5597,5254,5810
258,08027,custer,colorado,CO,4255,4228,4222,4265,4345,4439,4601,4874
259,08029,delta,colorado,CO,30952,30372,30449,30321,29947,29902,30346,30568
260,08031,denver,colorado,CO,600158,619356,633798,648049,663271,681618,694777,704621
261,08033,dolores,colorado,CO,2064,2044,2009,2033,1977,1980,2062,2067
262,08035,douglas,colorado,CO,285465,292370,298446,305944,314250,321484,327722,335299
263,08037,eagle,colorado,CO,52197,51892,52189,52685,53143,53664,54364,54772
264,08039,elbert,colorado,CO,23086,23168,23262,23529,23998,24553,25041,25642
265,08041,el paso,colorado,CO,622263,636596,644832,653945,661792,672453,686706,699232
266,08043,fremont,colorado,CO,46824,47315,46975,46260,46075,46204,46906,47559
267,08045,garfield,colorado,CO,56389,55964,56694,56888,57120,57691,58906,59118
268,08047,gilpin,colorado,CO,5441,5418,5420,5520,5736,5791,5905,6013
269,08049,grand,colorado,CO,14843,14544,14204,14296,14536,14685,15129,15321
270,08051,gunnison,colorado,CO,15324,15444,15431,15646,15835,16166,16491,16939
271,08053,hinsdale,colorado,CO,843,825,802,804,773,764,787,794
272,08055,huerfano,colorado,CO,6711,6519,6557,6455,6389,6400,6582,6662
273,08057,jackson,colorado,CO,1394,1358,1326,1337,1385,1351,1360,1385
274,08059,jefferson,colorado,CO,534543,540429,546333,551809,558519,564365,570839,574613
275,08061,kiowa,colorado,CO,1398,1431,1409,1392,1380,1384,1348,1376
276,08063,kit carson,colorado,CO,8270,8156,8060,8234,8007,8202,7628,7158
277,08065,lake,colorado,CO,7310,7335,7247,7261,7317,7444,7606,7778
278,08067,la plata,colorado,CO,51334,51770,52338,53250,53740,54552,55216,55589
279,08069,larimer,colorado,CO,299630,305027,310521,315859,323673,332840,338531,343976
280,08071,las animas,colorado,CO,15507,15033,14971,14379,14031,14021,14087,14238
281,08073,lincoln,colorado,CO,5467,5417,5441,5436,5507,5548,5562,5546
282,08075,logan,colorado,CO,22709,22084,21867,21680,21958,21968,21925,21896
283,08077,mesa,colorado,CO,146723,147276,147406,147250,147215,148116,149794,151616
284,08079,mineral,colorado,CO,712,711,719,732,703,743,755,766
285,08081,moffat,colorado,CO,13795,13412,13159,13115,12931,12940,13161,13131
286,08083,montezuma,colorado,CO,25535,25463,25465,25535,25502,25697,25975,26140
287,08085,montrose,colorado,CO,41276,40925,40605,40509,40553,40534,41160,41784
288,08087,morgan,colorado,CO,28159,28396,28198,28169,28044,28145,28063,28192
289,08089,otero,colorado,CO,18831,18860,18657,18479,18368,18212,18239,18326
290,08091,ouray,colorado,CO,4436,4413,4494,4540,4560,4589,4784,4794
291,08093,park,colorado,CO,16206,16043,16033,16168,16364,16715,17350,17905
292,08095,phillips,colorado,CO,4442,4374,4393,4363,4382,4315,4281,4292
293,08097,pitkin,colorado,CO,17148,17146,17259,17425,17664,17862,17894,17890
294,08099,prowers,colorado,CO,12551,12516,12437,12331,12075,11953,11989,12070
295,08101,pueblo,colorado,CO,159063,160171,160735,161070,161419,163043,164834,166475
296,08103,rio blanco,colorado,CO,6666,6771,6792,6732,6636,6515,6483,6420
297,08105,rio grande,colorado,CO,11982,11905,11861,11676,11498,11338,11338,11301
298,08107,routt,colorado,CO,23509,23246,23253,23569,24019,24310,24679,25220
299,08109,saguache,colorado,CO,6108,6177,6320,6232,6186,6239,6407,6626
300,08111,san juan,colorado,CO,699,690,692,691,711,688,689,715
301,08113,san miguel,colorado,CO,7359,7469,7561,7598,7704,7785,7964,7967
302,08115,sedgwick,colorado,CO,2379,2366,2373,2335,2329,2370,2405,2344
303,08117,summit,colorado,CO,27994,27988,28229,28655,29186,29852,30332,30585
304,08119,teller,colorado,CO,23350,23363,23439,23351,23431,23377,24040,24646
305,08121,washington,colorado,CO,4814,4763,4701,4743,4732,4787,4846,4938
306,08123,weld,colorado,CO,252825,258528,263754,269804,275584,284382,294243,304633
307,08125,yuma,colorado,CO,10043,10098,10076,10112,10175,10064,10118,10075
308,09001,fairfield,connecticut,CT,916829,929398,936345,942865,946547,948116,949191,949921
309,09003,hartford,connecticut,CT,894014,897778,898572,899765,898810,897626,895497,895388
310,09005,litchfield,connecticut,CT,189927,189076,187685,187062,185585,184349,183097,182177
311,09007,middlesex,connecticut,CT,165676,166265,165519,165293,164717,163698,163433,163410
312,09009,new haven,connecticut,CT,862477,864725,865335,864558,864073,861594,859973,860435
313,09011,new london,connecticut,CT,274055,273226,274280,273388,271864,270266,269307,269033
314,09013,tolland,connecticut,CT,152691,153063,151973,151908,151748,151717,151145,151461
315,09015,windham,connecticut,CT,118428,118396,117996,117631,116844,116496,116042,116359
316,10001,kent,delaware,DE,162310,165149,167442,169150,171664,173332,174754,176824
317,10003,new castle,delaware,DE,538479,542282,546120,549486,552465,555587,557851,559793
318,10005,sussex,delaware,DE,197145,200453,203306,206478,210676,215188,220093,225322
319,11001,district of columbia,district of columbia,District of Columbia,601723,620336,635630,650114,660797,672736,684336,693972
320,12001,alachua,florida,FL,247336,249832,251654,252704,255809,259525,264341,266944
321,12003,baker,florida,FL,27115,27042,27043,27000,27123,27364,27915,28283
322,12005,bay,florida,FL,168852,169521,171755,174626,178221,181184,182992,183563
323,12007,bradford,florida,FL,28520,28432,27050,26806,26559,26744,26728,27038
324,12009,brevard,florida,FL,543376,544439,547293,550754,556277,566822,577899,589162
325,12011,broward,florida,FL,1748066,1787691,1816837,1840561,1866837,1891684,1917122,1935878
326,12013,calhoun,florida,FL,14625,14714,14663,14578,14452,14414,14361,14483
327,12015,charlotte,florida,FL,159978,159881,162833,164830,168336,172824,178157,182033
328,12017,citrus,florida,FL,141236,139765,139198,138865,138920,140443,142990,145647
329,12019,clay,florida,FL,190865,192290,193892,195735,198719,202529,207240,212230
330,12021,collier,florida,FL,321520,327667,332556,339483,348216,357194,366095,372880
331,12023,columbia,florida,FL,67531,67309,67886,67429,67851,68255,69274,69612
332,12027,desoto,florida,FL,34862,34794,34952,34840,35271,35475,35925,36862
333,12029,dixie,florida,FL,16422,16403,16152,16080,16034,16351,16477,16673
334,12031,duval,florida,FL,864263,872405,880526,886595,897679,911626,926380,937934
335,12033,escambia,florida,FL,297619,299366,303467,306767,308103,309529,311711,313512
336,12035,flagler,florida,FL,95696,97485,98506,99901,102118,104739,107805,110510
